idweb;id;annonce_reference_schema_v110;objet;filename;famille;code_departement;code_departement_prestation;famille_libelle;dateparution;datefindiffusion;datelimitereponse;nomacheteur;titulaire;perimetre;type_procedure;soustype_procedure;procedure_libelle;procedure_categorise;nature;sousnature;nature_libelle;sousnature_libelle;nature_categorise;nature_categorise_libelle;criteres;marche_public_simplifie;marche_public_simplifie_label;etat;descripteur_code;dc;descripteur_libelle;type_marche;type_marche_facette;type_avis;annonce_lie;annonces_anterieures;annonces_anterieures_schema_v110;source_schema;GESTION;DONNEES;url_avis;url_pdf
24-17725;24_17725;;Régénération de forêts tourbeuses par plantation : Cette action comporte la coupe définitive de peupleraies, la remise en état du site et la plantation d'essences (aulnes glutineux).;24-17725;JOUE;['80', '02', '60', '62', '59'];;Marchés européens;2024-02-14;2024-05-30;2024-04-24T17:00:00+00:00;CONSERVATOIRE ESPACES NATURELS HDF;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['350', '358', '116'];['350', '358', '116'];['Travaux forestiers', 'Végétaux', 'Espaces verts'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17725;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17725.pdf
24-17463;24_17463;;Marché d'exploitation des installations de chauffage de la Ville de Laventie;24-17463;JOUE;['62'];;Marchés européens;2024-02-14;2024-04-12;2024-03-22T16:00:00+00:00;Ville de Laventie;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['60', '61', '59'];['60', '61', '59'];['Chauffage (matériel)', 'Chauffage (travaux)', 'Chauffage (exploitation, entretien)'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17463;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17463.pdf
24-17501;24_17501;;Assistance au recrutement des médecins du Département du Pas-de-Calais;24-17501;JOUE;['62'];;Marchés européens;2024-02-14;2024-03-14;2024-03-14T15:00:00+00:00;Conseil Départemental du Pas-de-Calais;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17501;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17501.pdf
24-17540;24_17540;;FOURNITURE ET LIVRAISON DE TITRES-RESTAURANT DEMATERIALISÉS POUR LES SALARIES DE LA SPLA LA FABRIQUE DES QUARTIERS;24-17540;JOUE;['59'];;Marchés européens;2024-02-14;2024-03-15;2024-03-15T10:00:00+00:00;TRIBUNAL JUDICIAIRE DE LILLE;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['416'];['416'];['Titres restaurant'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17540;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17540.pdf
24-17548;24_17548;;Le présent accord-cadre a pour objet la fourniture et livraison de denrées alimentaires pour les Établissements Parisiens de l?Aide Sociale à l?Enfance (EPASE) relevant de la Direction des Solidarités;24-17548;JOUE;['75', '91', '92', '78', '14', '77'];;Marchés européens;2024-02-14;2024-04-15;2024-09-15T10:00:00+00:00;Ville de Paris , Direction de la Solidarités;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['88', '330', '66', '39'];['88', '330', '66', '39'];['Denrées alimentaires', 'Surgelés', 'Restauration collective', 'Boisson'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17548;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17548.pdf
24-17679;24_17679;;Fourniture de matériels de signalisation lumineuse et de régulation du trafic – Relance du lot n°1 Equipements de visualisation;24-17679;JOUE;['29'];;Marchés européens;2024-02-14;2024-03-18;2024-03-18T10:00:00+00:00;Brest métropole;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;RECTIFICATIF;['322'];['322'];['Signalisation'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17679;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17679.pdf
24-17810;24_17810;;Travaux pour l'extension et la restructuration du Collège Simone Veil à HERRLISHEIM -  Relance des lots 2, 8, 12, 13 et 21, après consultation initiale déclarée sans suite;24-17810;JOUE;['67'];;Marchés européens;2024-02-14;2024-03-14;2024-03-14T10:00:00+00:00;Collectivité européenne d'Alsace;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['33'];['33'];['Bâtiment'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17810;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17810.pdf
24-17892;24_17892;;Délégation de service public construction et exploitation du crématorium;24-17892;JOUE;['33'];;Marchés européens;2024-02-14;2024-04-26;;Commune de LANGON;;DIRECTIVE-23;;;Procédure NC;/;APPEL_OFFRE;CONCESSION;Avis de marché;Concession;appeloffre/concession;Avis de marché/Concession;;;;RECTIFICATIF;['406'];['406'];['Délégation de service public'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17892;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17892.pdf
24-17521;24_17521;;ACQUISITION, LIVRAISON ET INSTALLATION DE MOBILIER ET EQUIPEMENT SCOLAIRE;24-17521;JOUE;['65'];;Marchés européens;2024-02-14;2024-03-15;2024-03-15T11:00:00+00:00;Mairie de Tarbes;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['230'];['230'];['Mobilier'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17521;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17521.pdf
24-17564;24_17564;;CONCESSION DU SERVICE PUBLIC DE L'ASSAINISSEMENT COLLECTIF POUR 21 COMMUNES DE L'AGGLOMERATION (TROIS LOTS GEOGRAPHIQUES : SECTEURS NORD, OUEST ET EST);24-17564;JOUE;['38'];;Marchés européens;2024-02-14;2024-04-12;2024-04-12T10:00:00+00:00;Vienne Condrieu Agglomération;;DIRECTIVE-23;;;Procédure NC;/;APPEL_OFFRE;CONCESSION;Avis de marché;Concession;appeloffre/concession;Avis de marché/Concession;;;;INITIAL;['18'];['18'];['Assainissement'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17564;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17564.pdf
24-17573;24_17573;;Groupement de commande pour le Nettoyage des locaux et de la vitrerie des CCI Occitanie sites de  Blagnac, CCI Ariège, CCI Aveyron, CCI Haute-Garonne, CCI Gers, CCI LOT, CCI Hautes-Pyrénées et CCI Tar;24-17573;JOUE;['31', '09', '12', '32', '46', '65', '82'];;Marchés européens;2024-02-14;2024-03-13;2024-03-12T14:00:00+00:00;CCIRA de Bordeaux DREETS Nouvelle-Aquitaine - Pôle C;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['239'];['239'];['Nettoyage de locaux'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17573;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17573.pdf
24-17413;24_17413;;PRESTATIONS DE RECHERCHE ET REPERAGE DE  RESEAUX ET OUVRAGES ENTERRES PAR  PROCEDES NON INTRUSIFS SUR LE TERRITOIRE  DE PANTIN;24-17413;JOUE;['93'];;Marchés européens;2024-02-14;2024-03-13;;GEO SAT;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['118'];['118'];['Etude'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17413;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17413.pdf
24-17565;24_17565;;Fournitures de combinaisons de plongée humides de 5 et 7 mm et de combinaisons étanches au profit des enquêteurs subaquatiques et plongeurs d'intervention de la Gendarmerie Nationale;24-17565;JOUE;['06'];;Marchés européens;2024-02-14;2024-03-12;;AXESS MARKETING;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['113'];['113'];['Equipement sportif'];['FOURNITURES'];['Fournitures'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17565;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17565.pdf
24-17572;24_17572;;Concession de service pour la gestion et l'exploitation des Jardins de l'Imaginaire;24-17572;JOUE;['24'];;Marchés européens;2024-02-14;2024-03-29;2024-03-29T16:00:00+00:00;Commune de Terrasson-Lavilledieu;;DIRECTIVE-23;;;Procédure NC;/;APPEL_OFFRE;CONCESSION;Avis de marché;Concession;appeloffre/concession;Avis de marché/Concession;['environnementaux'];;;INITIAL;['406', '116', '274', '445'];['406', '116', '274', '445'];['Délégation de service public', 'Espaces verts', 'Prestations de services', 'Evénementiel'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17572;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17572.pdf
24-17649;24_17649;;Objets de communication;24-17649;JOUE;['75'];;Marchés européens;2024-02-14;2024-03-19;;ASSOCIATION ENTRAIDE UNION ESAT les ateliers créatifs de Limeil;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['464'];['464'];['Objet publicitaire'];['FOURNITURES'];['Fournitures'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17649;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17649.pdf
24-17789;24_17789;;Prestation de maintenance des embarcations du SDIS des Alpes-Maritimes - 2 Lots;24-17789;JOUE;['06'];;Marchés européens;2024-02-14;2024-03-09;;SDIS (06);;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['196'];['196'];['Maintenance'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17789;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17789.pdf
24-17708;24_17708;;Service de location et entretien de vêtements professionnels et de linge plat et acquisition de vêtements professionnels;24-17708;JOUE;['79'];;Marchés européens;2024-02-14;2024-05-12;;GROUPEMENT DE COMMANDES;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;['sociaux', 'environnementaux'];;;INITIAL;['36'];['36'];['Blanchissage'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17708;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17708.pdf
24-17793;24_17793;;Le présent marché a pour objet de confier à un prestataire extérieur le transport domicile/travail pour les personnels de l'Université Paris-Saclay, en situation de handicap;24-17793;JOUE;['91'];;Marchés européens;2024-02-14;2024-05-12;;Université Paris-Saclay;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;['environnementaux'];;;INITIAL;['347'];['347'];['Transport'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17793;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17793.pdf
24-17460;24_17460;;Fourniture de pneumatiques, d'accessoires de pneumatiques et prestations annexes;24-17460;JOUE;['33'];;Marchés européens;2024-02-14;2024-03-12;;TAQUIPNEU SAS;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['271'];['271'];['Pneumatiques'];['FOURNITURES'];['Fournitures'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17460;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17460.pdf
24-17429;24_17429;;23V0135COR - CONCOURS POUR L'ATTRIBUTION D'UN MARCHE NEGOCIE DE MAITRISE D'OEUVRE - REHABILITATION DU GROUPE SCOLAIRE RANGUEIL;24-17429;JOUE;['31'];;Marchés européens;2024-02-14;2024-05-11;;Ville de Toulouse;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;['sociaux', 'environnementaux'];;;INITIAL;['197'];['197'];"[""Maîtrise d'oeuvre""]";['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17429;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17429.pdf
24-18303;24_18303;;Amélioration de la zone d'accueil au Centre Social Municipal Chico Mendes à Beaurains (62217);24-18303;FNS;['62'];;Marchés entre 90 k€ et seuils européens;2024-02-14;2024-03-12;2024-03-12T12:00:00+00:00;Ville de Beaurains;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['195', '144', '53', '270', '308'];['195', '144', '53', '270', '308'];['Maçonnerie', 'Gros oeuvre', 'Carrelage', 'Plomberie (travaux)', 'Revêtements de sols'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-18303;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-18303.pdf
24-18306;24_18306;;Travaux de rénovation au Pôle des Métiers de Thionville;24-18306;FNS;['57'];;Marchés entre 90 k€ et seuils européens;2024-02-14;2024-04-14;2024-03-18T13:00:00+00:00;CMA de Moselle;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['117'];['117'];['Etanchéité'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-18306;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-18306.pdf
24-17989;24_17989;;MAINTENANCE ET DÉPANNAGES DES INSTALLATIONS ÉLECTRIQUES COURANTS FORTS ET FAIBLES DANS LES B TIMENTS ET COLLÈGES DU CONSEIL DÉPARTEMENTAL DU VAR - 2 LOTS GEOGRAPHIQUES;24-17989;JOUE;['83'];;Marchés européens;2024-02-14;2024-05-12;;Département du Var;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['196'];['196'];['Maintenance'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-17989;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-17989.pdf
24-18312;24_18312;;Marché de travaux de réhabilitation de 8 logements en 6 logements sociaux avec un local commercial en rez-de-chaussée d'un immeuble situé au 4-6 Grande Rue à Vaucresson (92420);24-18312;FNS;['92'];;Marchés entre 90 k€ et seuils européens;2024-02-14;2024-03-29;;Hauts-de-Seine Habitat - OPH;;FNSimple;;;Procédure NC;/;RECTIFICATIF;;Rectificatif;Rectificatif;rectificatif/standard;Rectificatif/;;;;RECTIFICATIF;['253'];['253'];"[""Ouvrage d'infrastructure""]";['TRAVAUX'];['Travaux'];;;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-18312;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-18312.pdf
24-18018;24_18018;;Rénovation énergétique et aménagements fonctionnels de la cité administrative de Thuir;24-18018;JOUE;['66'];;Marchés européens;2024-02-14;2024-03-07;2024-03-07T11:00:00+00:00;Mairie de Thuir;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['33', '61', '63', '105', '222'];['33', '61', '63', '105', '222'];['Bâtiment', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Electricité (travaux)', 'Menuiserie'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-18018;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-18018.pdf
24-18331;24_18331;;Prestations de tutorat e-learning pour le Département du Val-de-Marne. Lieu : Département du Val-de-Marne;24-18331;FNS;['94'];;Marchés entre 90 k€ et seuils européens;2024-02-14;2024-03-11;2024-03-11T16:00:00+00:00;Conseil Départemental du Val-de-Marne;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['410'];['410'];['Formation'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-18331;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-18331.pdf
24-18336;24_18336;;Marché de TRAVAUX dans le cadre de la création d'un AUVENT dans la COUR de l'école maternelle 11 bis avenue Parmentier 75011 PARIS;24-18336;FNS;['75'];;Marchés entre 90 k€ et seuils européens;2024-02-14;2024-03-14;2024-03-13T12:00:00+00:00;SLA 11- 12;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['33'];['33'];['Bâtiment'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-18336;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-18336.pdf
24-18347;24_18347;;Etudes d'exécution et réalisation des travaux de génie civil nécessaires à l'implantation d'une grue sur rail à proximité des formes de radoub de Saint-Nazaire et rénovation de son terre-plein;24-18347;FNS;['44'];;Marchés entre 90 k€ et seuils européens;2024-02-14;2024-03-27;2024-03-27T12:00:00+00:00;GRAND PORT MARITIME DE NANTES SAINT-NAZAIRE;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['129'];['129'];['Fondations spéciales'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-18347;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-18347.pdf
24-18351;24_18351;;Aménagement d'une aire de jeux ludiques et d'un parcours fitness rue des Aubépines à Abbeville;24-18351;FNS;['80'];;Marchés entre 90 k€ et seuils européens;2024-02-14;2024-03-13;2024-03-13T17:00:00+00:00;Mairie d'Abbeville;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['400'];['400'];['Aire de jeux'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-18351;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-18351.pdf
