idweb;id;annonce_reference_schema_v110;objet;filename;famille;code_departement;code_departement_prestation;famille_libelle;dateparution;datefindiffusion;datelimitereponse;nomacheteur;titulaire;perimetre;type_procedure;soustype_procedure;procedure_libelle;procedure_categorise;nature;sousnature;nature_libelle;sousnature_libelle;nature_categorise;nature_categorise_libelle;criteres;marche_public_simplifie;marche_public_simplifie_label;etat;descripteur_code;dc;descripteur_libelle;type_marche;type_marche_facette;type_avis;annonce_lie;annonces_anterieures;annonces_anterieures_schema_v110;source_schema;GESTION;DONNEES;url_avis;url_pdf;gpt_response
24-15295;24_15295;;Marché public relatif à la gestion des aires d'accueil des gens du voyage sur le territoire de la Communauté de Communes du Val d'Essonne;24-15295;JOUE;['91'];;Marchés européens;2024-02-08;2024-03-11;2024-03-11T11:00:00+00:00;Cté de Communes du Val d'Essonne;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['430'];['430'];"[""Aire d'accueil""]";['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15295;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15295.pdf;FALSE
24-15182;24_15182;;Appel d'offres ouvert en vue de prestations de maintenance des cloches, horloges et paratonnerres de la Ville de Toulon en deux lots;24-15182;JOUE;['83'];;Marchés européens;2024-02-08;2024-03-13;2024-03-13T11:00:00+00:00;Ville de Toulon;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['411', '80', '196'];['411', '80', '196'];['Paratonnerre', 'Clocher', 'Maintenance'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15182;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15182.pdf;FALSE
24-15215;24_15215;;Achat d'équipements de laboratoire pour traitement d'échantillons dans le cadre des activités du Centre de Recherche en Environnement Côtier;24-15215;JOUE;['14'];;Marchés européens;2024-02-08;2024-03-14;2024-03-14T10:00:00+00:00;Université de Caen Normandie;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['188'];['188'];['Laboratoire (matériel)'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15215;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15215.pdf;FALSE
24-15217;24_15217;;Fournitures de donnée pour des analyses ESG;24-15217;JOUE;['75'];;Marchés européens;2024-02-08;2024-05-08;;CAISSE DES DEPOTS ET CONSIGNATIONS;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15217;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15217.pdf;TRUE
24-15228;24_15228;;Mission de Maitrise d'oeuvre pour la rénovation et l'extension de la résidence Jean de Luxembourg à Haubourdin et l'extension de la résidence les magnolias de Loos;24-15228;JOUE;['59'];;Marchés européens;2024-02-08;2024-03-11;2024-03-11T11:00:00+00:00;CHU de Lille - ES du GHT LMFI;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['197'];['197'];"[""Maîtrise d'oeuvre""]";['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15228;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15228.pdf;FALSE
24-15257;24_15257;;Acquisition de fournitures administratives, pédagogiques, scolaires et pour les activités manuelles commandées par les écoles et les services de la commune;24-15257;JOUE;['13'];;Marchés européens;2024-02-08;2024-03-12;2024-03-12T11:00:00+00:00;Commune de Miramas;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['16'];['16'];['Articles de bureau et articles scolaires'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15257;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15257.pdf;FALSE
24-14924;24_14924;;Accord-cadre à bons de commande portant sur la réalisation de missions de coordination en matière de sécurité et de protection de la santé des travailleurs pour les opérations de 1ère, 2ème et 3ème ca;24-14924;JOUE;['78', '75'];;Marchés européens;2024-02-08;2024-06-18;2024-03-18T09:00:00+00:00;Tribunal administratif de Versailles;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14924;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14924.pdf;FALSE
24-15005;24_15005;;Maîtrise d'oeuvre pour le réaménagement du seuil de Saint-Lô dans l'objectif d'améliorer les fonctionnements écologiques et les usages sociaux du site;24-15005;JOUE;['50'];;Marchés européens;2024-02-08;2024-02-27;2024-02-27T11:00:00+00:00;Ville de Saint-Lô;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['sociaux', 'environnementaux'];;;RECTIFICATIF;['455'];['455'];['Ingénierie'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15005;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15005.pdf;FALSE
24-14815;24_14815;;SERVICES ROUTIERS DE TRANSPORT SCOLAIRE DE LA NIEVRE POUR ELEVES EN SITUATION DE HANDICAP OU FREQUENTANT UNE CLASSE SPECIALISEE;24-14815;JOUE;['18'];;Marchés européens;2024-02-08;2024-03-15;2024-03-12T09:00:00+00:00;TRIBUNAL ADMINISTRATIF DE DIJON;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['347'];['347'];['Transport'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14815;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14815.pdf;FALSE
24-14866;24_14866;;MPPS entretien des espaces verts de la CCARM / 2024-2026;24-14866;JOUE;['08'];;Marchés européens;2024-02-08;2024-03-04;2024-03-04T14:00:00+00:00;Ardenne rives de meuse;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['116'];['116'];['Espaces verts'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14866;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14866.pdf;FALSE
24-14902;24_14902;;Prestations de services d'agence de voyages;24-14902;JOUE;['973'];;Marchés européens;2024-02-08;2024-03-08;2024-03-08T15:00:00+00:00;COLLECTIVITE TERRITORIALE DE GUYANE;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['367'];['367'];['Voyage'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14902;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14902.pdf;FALSE
24-14920;24_14920;;PRESTATION DE NETTOYAGE DE PARCS ET SQUARES POUR LA VILLE DE BAGNEUX;24-14920;JOUE;['92'];;Marchés européens;2024-02-08;2024-03-01;2024-03-01T11:00:00+00:00;Ville de Bagneux;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;RECTIFICATIF;['240'];['240'];['Nettoyage urbain'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14920;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14920.pdf;FALSE
24-14828;24_14828;;Marché d'exploitation, de renouvellement et de maintenance d'équipements techniques au Laboratoire Départemental d'Analyses à ARRAS;24-14828;JOUE;['62'];;Marchés européens;2024-02-08;2024-03-08;2024-03-08T15:00:00+00:00;Conseil Départemental du Pas-de-Calais;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['196', '274'];['196', '274'];['Maintenance', 'Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14828;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14828.pdf;FALSE
24-14839;24_14839;;Prestations de nettoyage des locaux administratifs, sportifs et techniques, des vitreries et fournitures des consommables pour la communauté urbaine Caen La Mer - Relance;24-14839;JOUE;['14'];;Marchés européens;2024-02-08;2024-05-05;;Communauté Urbaine Caen La Mer;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;['environnementaux'];;;INITIAL;['239'];['239'];['Nettoyage de locaux'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14839;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14839.pdf;FALSE
24-14932;24_14932;;Fourniture de denrées alimentaires par une centrale d'achat ou de référencement pour la commune de Gif-sur-Yvette;24-14932;JOUE;['91'];;Marchés européens;2024-02-08;2024-03-09;2024-03-08T10:00:00+00:00;Tribunal administratif de Versailles;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['88'];['88'];['Denrées alimentaires'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14932;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14932.pdf;FALSE
24-14935;24_14935;;Réalisation d'un ouvrage de franchissement sur le canal d'Ille et Rance et des voiries associées pour assurer la desserte du futur secteur urbanisé du Bout du Monde à 35760 Saint-Grégoire.;24-14935;JOUE;['35'];;Marchés européens;2024-02-08;2024-03-22;2024-03-22T14:00:00+00:00;Commune de SAINT GREGOIRE;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['141', '252', '366', '116', '341'];['141', '252', '366', '116', '341'];"['Génie civil', ""Ouvrage d'art"", 'Voirie et réseaux divers', 'Espaces verts', 'Terrassement']";['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14935;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14935.pdf;FALSE
24-14886;24_14886;;RESTRUCTURATION ET EXTENSION DE L'ECOLE PAUL HEROULT A THURY HARCOURT LE HOM;24-14886;JOUE;['14'];;Marchés européens;2024-02-08;2024-02-21;2024-03-01T11:00:00+00:00;CDC Cingal-Suisse Normande;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;RECTIFICATIF;['144'];['144'];['Gros oeuvre'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14886;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14886.pdf;FALSE
24-15075;24_15075;;Concession du Service Public de l’Assainissement Collectif et Non Collectif;24-15075;JOUE;['21'];;Marchés européens;2024-02-08;2024-03-02;2024-03-21T15:00:00+00:00;Communauté de Communes Rives de Saône (21);;AUTRE;;;Procédure NC;/;APPEL_OFFRE;CONCESSION;Avis de marché;Concession;appeloffre/concession;Avis de marché/Concession;;;;RECTIFICATIF;['18', '406'];['18', '406'];['Assainissement', 'Délégation de service public'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15075;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15075.pdf;FALSE
24-15128;24_15128;;Fourniture et mise en oeuvre de signalisation horizontale sur les routes départementales de la Gironde 6 lots - Réf.2224;24-15128;JOUE;['33'];;Marchés européens;2024-02-08;2024-05-06;;Conseil Départemental de la Gironde;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;['sociaux', 'environnementaux'];;;INITIAL;['365'];['365'];['Voirie'];['TRAVAUX'];['Travaux'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15128;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15128.pdf;FALSE
24-15141;24_15141;;Tierce maintenance des applications de gestion électronique des documents européens (EURODOC) et de gestion des précédents de séance (TIM) : Accord-cadre 2023AN-28;24-15141;JOUE;['75'];;Marchés européens;2024-02-08;2024-04-07;;Assemblée nationale;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['101'];['101'];['Echafaudage'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15141;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15141.pdf;FALSE
24-15147;24_15147;;RÉNOVATION DES 3E ET 4E ÉTAGES DE LA ZONE COLBERT DU PALAIS BOURBON : MARCHÉ 2022AN37_Lot 3 : Installations de chantier échafaudages parapluie couverture isolation;24-15147;JOUE;['75'];;Marchés européens;2024-02-08;2024-04-07;;Assemblée nationale;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['101'];['101'];['Echafaudage'];['TRAVAUX'];['Travaux'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15147;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15147.pdf;FALSE
24-15151;24_15151;;Système d'achat de nuitées hôtelières pour l'hébergement d'urgence des personnes en situation d'exclusion en Ile-de-France;24-15151;JOUE;['75', '78', '77', '94', '95', '91', '92', '93'];;Marchés européens;2024-02-08;2028-05-05;2028-05-05T21:59:00+00:00;GROUPEMEMENT D'INTERET PUBLIC SAMUSOCIAL DE PARIS;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['466'];['466'];['Prestation hotelière'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15151;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15151.pdf;FALSE
24-15282;24_15282;;Exploitation et maintenance multi technique non opérationnelles d'installations et équipements de bâtiments techniques, administratifs et logements de la DGAC.;24-15282;JOUE;['13'];;Marchés européens;2024-02-08;2024-02-26;;DIRECTION DES OPERATIONS DE LA DSNA;;DIRECTIVE-25;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['196'];['196'];['Maintenance'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15282;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15282.pdf;FALSE
24-14836;24_14836;;Stationnement payant sur Voirie - Acquisition d'horodateurs (et d'une solution dématérialisée de paiement), d'une gestion technique centralisée (avec raccordement du parc existant)- pièces détachées;24-14836;JOUE;['35'];;Marchés européens;2024-02-08;2024-05-05;;Ville de Rennes;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['151'];['151'];['Horodateur'];['FOURNITURES'];['Fournitures'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14836;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14836.pdf;FALSE
24-14957;24_14957;;Le marché a pour objet l'acquisition, la mise en oeuvre et la maintenance d'un logiciel de type ERP pour les besoins de la SAEML CYCLEA, ainsi que la formation des utilisateurs.;24-14957;JOUE;['974'];;Marchés européens;2024-02-08;2024-03-08;;SAEML Cyclea;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['186'];['186'];['Logiciel'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14957;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14957.pdf;FALSE
24-15006;24_15006;;Marché de service relatif à la prestation d'assurance « Flotte automobile et risques annexes » pour les besoins du CCAS DE LA VILLE DE GRENOBLE;24-15006;JOUE;['38'];;Marchés européens;2024-02-08;2024-05-06;;C.C.A.S. DE GRENOBLE;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['20'];['20'];['Assurance'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15006;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15006.pdf;FALSE
24-15013;24_15013;;Affaire 23S0531 Prestations de gardiennage des bâtiments de la Région Grand Est situés à Bar-le-Duc et sur le territoire Champardennais;24-15013;JOUE;['57'];;Marchés européens;2024-02-08;2024-05-06;;Région Grand Est;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;['environnementaux'];;;INITIAL;['138'];['138'];['Gardiennage'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15013;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15013.pdf;FALSE
24-15232;24_15232;;Accord-cadre de fourniture de rails;24-15232;JOUE;['44'];;Marchés européens;2024-02-08;2024-05-06;;SEMITAN;;DIRECTIVE-25;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['206', '364'];['206', '364'];['Matériel ferroviaire', 'Voies ferrées'];['FOURNITURES'];['Fournitures'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15232;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15232.pdf;FALSE
24-14834;24_14834;;Création de la ligne de tramway T10 Gare de Vénissieux <> Secteur Gerland - Travaux de dévoiement et de restructuration des réseaux structurants (Feeders) d'eau potable - Relance des lots 1 et 3;24-14834;JOUE;['69'];;Marchés européens;2024-02-08;2024-05-05;;SYTRAL Mobilités;;DIRECTIVE-25;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;['sociaux', 'environnementaux'];;;INITIAL;['6'];['6'];['Alimentation en eau potable'];['TRAVAUX'];['Travaux'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14834;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14834.pdf;FALSE
