id,description
274078,Demande d'information - Exploitation Windows@EPFL
273665,Revision Geschäftstätigkeit und Jahresrechnungen 2024-2028
273924,Erweiterung und Erneuerung IBM Spectrum Scale Storage
273991,"ZAKU Deponie Eielen: Optimierung Logistik, Los 002 Tief- und Strassenbauarbeiten"
273992,BKP 272.2 Allg. Metallbauarbeiten
274002,Projet hyperviseur ECA
274012,BKP 222 / 224 Spengler- und Flachdacharbeiten
274016,"ZAKU Deponie Eielen: Optimierung Logistik, Los 003 Betonbauarbeiten"
274045,"Kloster Werthenstein, Sanierung Klostermauer, BKP 211"
274048,BKP 222-224 Spengler- und Flachdacharbeiten
274053,"131.188 Um- & Anbau Schulhaus Leewasser, Im Ring 2, 6440 Brunnen - Ingenbohl"
274056,Netzpumpen - Eniwa Energiezentrale KSA
274073,BKP 222-224 Spengler- und Flachdacharbeiten
274082,BHNS AXE FRONTENEX - LOT 2
234598,20-021 Selles nervurées
234598,20-021 Rippenplatten
258146,"ProRheno AG, Erweiterung ARA Basel (EABA), M-23 Faulturmrührwerke"
266318,"MP 2080 Lehenmattstrasse Nord, Werkleitungs- und Strassenbau"
267595,"MP 2288 Austrasse, Ingenieurleistungen"
268179,Assistance à la maîtrise d’ouvrage auprès de la direction du programme de remédiation de l’obsolescence
269180,"STIFT Olsberg, Ersatz Wärmeerzeugung; BKP 240 (244/250) Heizung (Lüftung/Sanitär)"
274039,Appui pour le traitement et la valorisation des données sur la qualité des eaux souterraines et des sols
274041,Appui aux procédures de délimitation et d'approbation des zones de protection des eaux souterraines.
274042,Appui pour la réalisation de préavis et d’autorisation LEaux dans le cadre de l’application de la nouvelle délimitation des secteurs de protection des eaux sou-terraines
274051,Appui pour le suivi de la qualité des eaux de surface et l’établissement des stratégies d’échantillonnage et publications
274055,CSAL RSC Journals 2024-2026
274070,CSAL CUP 2024-2026
274074,CSAL Legalis 2024-2025
274081,CSAL Clarivate Datenbanken 2024-2026
273665,Revision Geschäftstätigkeit und Jahresrechnungen 2024-2028
270628,Neuer RegioExpress
273547,"IWB, UW Volta Hartbeton Zementstriche"
273548,"IWB, UW Volta innere und äussere Malerarbeiten"
234598,20-021 Selles nervurées
234598,20-021 Rippenplatten
273914,RFI : étude de marché sur le système de whistleblowing dans le domaine de l'inconduite scientifique
273914,RFI: Marktabklärung Whistleblowing System im Bereich wissenschaftliches Fehlverhalten
269664,"Elektrifizierung und Schiffsbau Fahrgastschiffe Albis-Klasse Antriebsbatterie, Elektromotor, Elektrische Ausrüstung"
269757,Ausstattung persönliche Convertibles für Schüler ab 6. Klasse (Miete)
272287,RC 1310 - Tronçon 6 : Le Petit-Martel -- Les Coeudres Ouest
272292,Piscine du Parc - Production de chaleur
272298,3. Rhonekorrektion - PM Visp - Grundwasserüberwachung 2024-2027
272298,3e correction du Rhône - MP Viège - Surveillance de la nappe 2024-2027
272633,Übersetzungsdienstleistungen von Deutsch und Englisch ins Französische 2024 - 2029
272633,Prestations de traduction de l'allemand et de l'anglais vers le français 2024 – 2029
272670,Käferholzstrasse
272689,Sanierung Gätzlistrasse
272823,BAV 22405 Wohnsiedlung Leutschenbach
272962,"BAV 83185 Schulanlage Rütihof, Betreuung Tagesschule, Umbau und Erweiterung, Generalplanungsleistungen (unter Vorbehalt der Kreditgenehmigung)"
272974,23.42 Sanierung Holländerstrasse
272977,Installation solaire photovoltaïque BioArk III
272997,"Kreisel Grosser Herrgott, Einsiedeln Ingenieurleistungen für die Phasen 41 bis 53"
273002,Montagebau in Holz (Fassade)
273090,"RENOVATION ENERGETIQUE au standard HPE Reno Collège De Saussure Mandat d'architecte en tant que planificateur général, phases SIA 32 à 53"
273166,Werkschutz
273208,"Wohnhaus Baubereich B, Standort Du Lac, St. Moritz – Planerwahlverfahren"
273243,"Bremgarten AO, K 127, Instandsetzung Umfahrung; Belagserneuerung und Sanierung Tunnel B-383, B-384 und Brücken B-051, B-383"
273287,"Sanierung und Erweiterung Schulanlage Wolfsmatt, Dietikon - BKP 152.0 Anpassung an bestehende Erschliessung"
273336,Belagserneuerungen 2024 Strasseninspektorat Mittelland West - Los 2
273421,283.4 Deckenbekleidungen aus Holzwerkstoffen (Akustik)
273425,"Lieferung von 2K-Kaltplastik, 2K-Kaltspritzplastik, 2K-Beschichtungs-masse, 1K-VOC Abgabefreie Lösemittelfarbe, Härter und Reflex-perlen für die Vertragsdauer April 2024 bis April 2029"
273458,"Kölliken / Muhen; K 108 / K 320, Knoten Hard"
273470,BKP 358 Kücheneinrichtungen (Gastro)
273511,"Altstetterstrasse, Abschnitt Rautistrasse bis Bachwiesenstrasse"
273537,"Totalsanierung «alte» Kantonsstrasse Nr. 813, Randa"
273538,"Thun, Erweiterung Schulanlage Neufeld, Fachplanerausschreibung"
273574,BAV 73009 Energie 360° AG
273580,BAV 73009 Energie 360° AG
273598,"Binzmühlestrasse, Abschnitt Seebacher- bis Kügeliloostrasse"
273619,900 Unterwasserbehälter für das Hyper Kamiokande-Experiment
273619,900 Réservoirs sous-marins pour l'Expérience Hyper Kamiokande
273619,900 Underwater Vessels for Hyper Kamiokande Experiment
273629,LC-MS/MS pour l'analyse des micropolluants dans les eaux environnementales et eaux de surfaces par injection directe.
273642,Aménagements routiers liés à la mise en service de la nouvelle ligne de bus n°44
273646,Aménagement de la décharge ISDS SA
273681,Heizung Wohnsiedlung Limmat I
273684,Transformation du carrefour de l'Etoile à Montana en giratoire
273694,"CoolCity, Projektleitung Gesamtkoordination Technik, TP0"
273724,"(b24000) Nettoyage d’entretien et nettoyage spécialisé, campus Liebefeld"
273724,(b24000) Unterhalts- und Spezialreinigungen Campus Liebefeld
273739,"Sanierung Oskar-Bider-Strasse, Dübendorf"
273740,"SKP 237.02 Gebäudeautomation KNX / DALI Neubau H2, Haus Q"
273752,Giratoire route de l'Industrie
273769,Ersatz Virtualisierungsplattform
273769,Remplacement de la plate-forme de virtualisation
273772,"Kantonsschule Zürich Nord, Gesamtinstandsetzung (Investition)"
273781,"Submission Gebietsbetreuung überkommunaler Naturschutzobjekte, GBT Nr. 21 Tössbergerland Süd"
273782,"Submission Gebietsbetreuung überkommunaler Naturschutzobjekte, GBT Nr. 26 Knonaueramt Süd"
273791,"Submission Gebietsbetreuung überkommunaler Naturschutzobjekte, GBT Nr. 3 Thurauen"
273796,"Submission Gebietsbetreuung überkommunaler Naturschutzobjekte, GBT Nr. 5 Irchel – Winterthur"
273797,"Submission Gebietsbetreuung überkommunaler Naturschutzobjekte, GBT Nr. 7 Unterland Ost"
273798,"Submission Gebietsbetreuung überkommunaler Naturschutzobjekte, GBT Nr. 16 Pfäffikersee – Wetzikon"
273799,"Submission Gebietsbetreuung überkommunaler Naturschutzobjekte, GBT Nr. 22 Furttal – Limmattal – Katzenseen"
273804,Erneuerung CISCO Enterprise Agreement für 5 Jahre
273813,Rénovation de la piscine et de la salle polyvalente de Finhaut
273844,Acquisition et mise en oeuvre d'une solution IT de sécurité
273846,Dorfgestaltung Madulain
273848,externe Projektunterstützung für die Wirkungskontrollen von Revitalisierungsprojekten im Kanton Zürich
273871,Baumeister Via Cons
273875,Wirkungskontrolleteams (Wiko-Teams) für die Erhebungen im Rahmen der Wirkungskontrollen von Revitalisierungsprojekten im Kanton Zürich
273876,Délégation d'un/d'une administrateur-trice sytème
273877,Neubau Erhaltungszentrum Gossau  BKP 221.6 Türen aus Metall und BKP 272.2 Metallbauarbeiten
273877,Nouvelle construction du centre de maintenance de Gossau CFC 221.6 portes en métal et 272.2 Ouvrages métalliques courants
273879,Remplacement ODA
273880,Belagsarbeiten Curtin Niregl
273888,Attribution de 49 postes externes pour l'OCSIN (Appel d'offres LSE 2024-01)
273889,"Appel d’offres public pour la location de smartphones neufs pour la police, avec abonnements téléphoniques et prestations complémentaires"
273890,Belagsarbeiten Via Cons
273891,Fourniture et pose de bétons bitumineux pour l'entretien des routes cantonales - 7 lots
273892,Baumeisterarbeiten Curtin Niregl
273899,Ligne Orbe - Chavornay : LOT 1 – TRAVAUX ANTICIPES ET FOUILLE ARCHEOLOGIQUE
273900,Route 400 Châtelard - Finhaut - Emosson. Tronçon : Amont de Finhaut - Les Fontaines. Mur de soutènement et restructuration de chaussée
273901,Beschaffung von einem Kombifahrzeug (Atemschutzfahrzeug / Rüstwagen) mit Mannschaftskabine
273902,BKP 201.1 Rückbau und Baugrubenaushub
273905,Abonnements et services liés permettant l’accès aux contenus de publications périodiques spécialisées en botanique et mycologie pour la Bibliothèque des Conservatoire et Jardin botaniques de Genève
273907,"BKP 242 Heizung - Erneuerung Wärmeverbund öffentliche Bauten, 5035 Unterentfelden"
273909,"Sanierung und Umnutzung, Dienstgebäude, Friedhof Uster - BKP 242/244"
273929,BKP 231.1 Elektroinstallationen
273931,Submission Gerinnungsanalyzer
273937,Fondation La Rozavère / EMS Orée_Lot 273.301 Menuiserie courante A
273938,Démolition et construction d'un EMS à Bex.
273943,"Überbauung ""Areal Gemeindehaus"", 8964 Rudolfstetten-Friedlisberg, BKP 221.6 Aussen- und Innentüren aus Metall"
273946,Extension du site de l'Hôpital de Lavaux IMAGO
273948,Fondation La Rozavère / EMS de l'Orée_Lot 273.302 Menuiserie courante B (pièces fermées)
273960,Démolition et construction d'un EMS à Bex.
273963,Lernplattform (LEP)
273965,"Werkleitungsbau Bachstrasse/Kirchhofplatz, Baumeister"
273966,"«Neubau HPS» Neubau Heilpädagogische Schule mit ergänzenden Räumlichkeiten der Regelschule Oberfeld, Langnau i.E."
222673,Zurich Trams for Vinnytsia (Phase II)
253601,"BAV 60398 Rote Fabrik, Instandsetzung BAV 12041 Rote Fabrik, Sofortmassnahmen"
258967,UNI-BASTIONS_CFC 28180_Faux-Planchers Central
260294,UNI-BASTIONS - 21300 Construction métallique Central
262325,"WKW Wynau/Schwarzhäusern, Fischaufstieg Bau"
262558,"Strassenmarkierungen Kreis III, 2024 - 2028"
262558,"Strassenmarkierungen Kreis I, 2024 - 2028"
262558,"Strassenmarkierungen Kreis IV, 2024 - 2028"
262558,"Strassenmarkierungen Kreis II, 2024 - 2028"
263355,BAV 80953 Schulanlage Grünau
263498,BAV 22403 Tramdepot und Wohnsiedlung DEPOT HARD
263648,"Energiezentrale Rautistrasse Zürich, Generalunternehmer*in Bau"
264254,BUe-Schlagbäume (Beschaffung von Bahnübergangsschlagbäumen)
264254,PN-Barrière mobile (Acquisition de barrières de sécurité pour passages à niveau)
264994,Baumeisterarbeiten für Ersatzneubau Zaunbrücke und Strassenausbau
265152,BAV 80693 Schulanlage Mühlebach
265236,Papier à copier A4 et A3 pour KoBe ETH+ (achat coordonné dans le domaine des EPF plus partenaires)
265236,Kopierpapier A4 und A3 für KoBe ETH+ (Koordinierte Beschaffung im ETH-Bereich plus Partner)
265273,Dienstleistungen für den Versand von Patientenrechnungen/Patientenrechnungskopien
265603,Beschaffung mobile Heber Flexity/Cobra
265720,Herstellung und Lieferung von Asphalt-Schienenunterguss
265973,BAV 22405 Wohnsiedlung Leutschenbach
265973,BAV 22405 Wohnsiedlung Leutschenbach
266224,1446-Baumeisterarbeiten_Umbau_Bhf_Kandersteg
266224,1446-Baumeisterarbeiten_Umbau_Bhf_Kandersteg
266437,"Umbau Hauptgebäude Psychiatrische Klinik Königsfelden, BKP 258 Kücheneinrichtungen"
266439,PiA Büromöblierung
266439,PiA Büromöblierung
266439,PiA Büromöblierung
266680,"Chemin du Viaduc : réaménagement de la route, réfection du giratoire et création d’un terminus de bus"
266832,"Hägendorf, Gäustrasse, SBB- Unterführung bis Dünnernbrücke, Knoten MZH Raiffeisen und BHS Bodenmatt, Strassensanierung und Umgestaltung"
266892,TR1510 – 380-kV-Leitung Lavorgo–Mettlen - OPGW
266892,TR1510 – 380-kV-Leitung Lavorgo–Mettlen - OPGW
267271,Doppelspur Kägiswil: Gesamtplaner
267554,BAV 80750 Schulhaus Herostrasse
267569,"Hägendorf, Bachstrasse, Knoten Bachstrasse / Eigasse, Sanierung Fussgängerstreifen und Bushaltestelle"
267878,Modulbau Asylunterkunft
268336,Neubau Dorfkindergarten Schmittenacher 8484 Weisslingen
268337,Neubau Dorfkindergarten Schmittenacher 8484 Weisslingen
268371,"Gemeinde Domleschg, Paspels, Quadrella, Sanierung Gemeindestrasse mit Werkleitungen, Baumeister- und Belagsarbeiten"
268993,Fourniture système et matériel de marquage à la place
269022,Appel d'offres public pour l'acquisition d'une prestation de gestion de la circulation de carrefours pendant des travaux 2024
269546,"BAV 80991 Schulanlage Milchbuck 1 + 2, KGH Paulus"
269563,"Fernwärmeerschliessung Igis, Landquart, Baumeisterarbeiten"
271470,Amélioration de la sécurité incendie du tunnel de Ferney - Pool de mandataires pluridisciplinaire
273894,Beschaffung und Nutzung von Microsoft-Produkten und -Services für den Zeitraum von 2024–2027
273915,"Los 16.1bis: Geometrische Veränderungen am Gleis, Erneuerung von Gleisen und Weichen, Erneuerung und Verbreiterung von Bahnübergängen."
273915,"Lot 16.1bis : Modifications géométriques de la voie, renouvellement de voies et d’appareils de voie, renouvellement et élargissement de passages à niveau."
273930,N08.64 080145 - Brünig Gnoll - Kurve Wacht - Projektverfasser Phase DP - 53 inkl. öBL - Nachtrag 3
273930,N08.64 080145 - Brünig Gnoll - Kurve Wacht - Projektverfasser Phase DP - 53 inkl. öBL - Nachtrag 3
273950,Smart Metering System / Intelligentes Messsystem
270033,Sicherungsanlagen-Partner NESA
259964,UNI-BASTIONS_CFC 37205_Mobilier métallique Central
267237,BAV 80673 Schulanlage Borrweg
269545,BAV 80673 Schulanlage Borrweg
269795,"ZHAW WÄD, GO, Neubau prov. Unterrichtsräume, BKP 214"
269664,"Électrification et construction navale Bateaux à passagers classe Albis Batterie de traction, moteur électrique, équipement électrique"
