idweb;id;annonce_reference_schema_v110;objet;filename;famille;code_departement;code_departement_prestation;famille_libelle;dateparution;datefindiffusion;datelimitereponse;nomacheteur;titulaire;perimetre;type_procedure;soustype_procedure;procedure_libelle;procedure_categorise;nature;sousnature;nature_libelle;sousnature_libelle;nature_categorise;nature_categorise_libelle;criteres;marche_public_simplifie;marche_public_simplifie_label;etat;descripteur_code;dc;descripteur_libelle;type_marche;type_marche_facette;type_avis;annonce_lie;annonces_anterieures;annonces_anterieures_schema_v110;source_schema;GESTION;DONNEES;url_avis;url_pdf
24-19853;24_19853;;Prestations d'espaces verts sur les espaces gérés par Saint-Étienne Métropole;24-19853;JOUE;['42'];;Marchés européens;2024-02-18;2024-03-18;2024-03-18T11:00:00+00:00;Saint-Etienne Métropole;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['sociaux', 'environnementaux'];;;INITIAL;['116'];['116'];['Espaces verts'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19853;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19853.pdf
24-19869;24_19869;;Analyseur de réseau vectoriel 10MHz-70GHz;24-19869;JOUE;['87'];;Marchés européens;2024-02-18;2024-03-18;2024-03-18T14:00:00+00:00;Université de Limoges Service Marchés Publics;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['115'];['115'];['Equipements spécialisés'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19869;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19869.pdf
24-19863;24_19863;;Gestion externalisée du traitement des courriers recommandés du GIE iMSA et des caisses de MSA;24-19863;JOUE;['82'];;Marchés européens;2024-02-18;2024-03-28;;IN Continu et Services SAS;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['160'];['160'];['Impression'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19863;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19863.pdf
24-19924;24_19924;;Solutions d'hébergement des systèmes d'information et services associés destinés aux établissements de santé, établissements sociaux et médico-sociaux, SDIS, départements;24-19924;JOUE;['75'];;Marchés européens;2024-02-18;2024-04-20;2024-03-19T10:00:00+00:00;Tribunal administratif de Paris;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['163'];['163'];['Informatique (prestations de services)'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19924;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19924.pdf
24-19912;24_19912;;Concession de service public relative à l'exploitation du réseau de transport public urbain;24-19912;JOUE;['27'];;Marchés européens;2024-02-18;2024-03-01;;Communauté d'Agglomération Seine Normandie Agglomération (27);;DIRECTIVE-23;;;Procédure NC;/;ATTRIBUTION;CONCESSION;Résultat de marché;Concession;attribution/concession;Résultat de marché/Concession;;;;INITIAL;['347'];['347'];['Transport'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19912;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19912.pdf
24-19931;24_19931;;Concession de service relative à la mise à disposition, l'installation, la maintenance, l'entretien et l'exploitation commerciale d'abris voyageurs et de mobiliers urbains sur le territoire de la vill;24-19931;JOUE;['77'];;Marchés européens;2024-02-18;2024-04-03;2024-04-03T15:00:00+00:00;Tribunal administratif de Melun;;DIRECTIVE-23;;;Procédure NC;/;APPEL_OFFRE;CONCESSION;Avis de marché;Concession;appeloffre/concession;Avis de marché/Concession;;;;INITIAL;['285'];['285'];['Publicité, Communication'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19931;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19931.pdf
24-20066;24_20066;;Marché de prestations de services ayant pour objet le nettoyage des locaux, de la vitrerie ainsi que la fourniture des consommables sanitaires et l'évacuation des déchets de France Travail Guyane;24-20066;JOUE;['973'];;Marchés européens;2024-02-18;2024-03-28;2024-03-25T14:00:00+00:00;Tribunal Administratif de Cayenne;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['239'];['239'];['Nettoyage de locaux'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-20066;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-20066.pdf
24-20077;24_20077;;BIBLIOTHEQUE DE LOGICIELS MULTI-EDITEURS ET PRESTATIONS ASSOCIEES ACCORD-CADRE POUR LES COMMUNES, EPCI ET REGIONS;24-20077;JOUE;['75'];;Marchés européens;2024-02-18;2024-05-25;2024-03-18T10:00:00+00:00;Tribunal administratif de Paris;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;RECTIFICATIF;['186'];['186'];['Logiciel'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-20077;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-20077.pdf
24-19977;24_19977;;Réalisation et fourniture de panoramas de presse relatifs à la politique étrangère française, aux grandes questions d'actualité internationale et aux retombées médiatiques des autorités du ministère e;24-19977;JOUE;['75'];;Marchés européens;2024-02-18;2024-04-18;2024-03-18T10:00:00+00:00;CCIRA de Paris - Comité consultatif interrégional de règlement amiable des différends relatifs aux marchés publics;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['285'];['285'];['Publicité, Communication'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19977;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19977.pdf
24-19985;24_19985;;TRAVAUX DE RÉHABILITATION DE L'ÉCOLE LOUIS MARIN A LA CIOTAT (13600);24-19985;JOUE;['13'];;Marchés européens;2024-02-18;2024-04-21;2024-03-20T12:00:00+00:00;COMMUNE DE LA CIOTAT;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['144'];['144'];['Gros oeuvre'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19985;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19985.pdf
24-19819;24_19819;;Accord-cadre mono attributaire - Réalisation de travaux courants sur les réseaux d'assainissement (eaux usées/eaux pluviales) et les réseaux d'eau potable;24-19819;JOUE;['42'];;Marchés européens;2024-02-18;2024-05-15;;Saint-Etienne Métropole;;DIRECTIVE-25;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;['sociaux'];;;INITIAL;['18'];['18'];['Assainissement'];['TRAVAUX'];['Travaux'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19819;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19819.pdf
24-19836;24_19836;;Prestations de nettoyage des locaux pour les besoins de Morlaix Communauté;24-19836;JOUE;['29'];;Marchés européens;2024-02-18;2024-03-18;2024-03-18T16:30:00+00:00;Morlaix Communauté;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['239'];['239'];['Nettoyage de locaux'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19836;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19836.pdf
24-19841;24_19841;;Travaux d'aménagement de voirie et réseaux divers sur le territoire de la Communauté Urbaine de Dunkerque (4 lots);24-19841;JOUE;['59'];;Marchés européens;2024-02-18;2024-04-29;2024-03-29T11:00:00+00:00;Communauté Urbaine de Dunkerque;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['sociaux', 'environnementaux'];;;INITIAL;['366'];['366'];['Voirie et réseaux divers'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19841;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19841.pdf
24-19709;24_19709;;Exploitation, maintenance et supervision du réseau privé de communications électroniques de type LoRa relatif à l'internet des objets de RENNES MÉTROPOLE et prestations associées;24-19709;JOUE;['35'];;Marchés européens;2024-02-18;2024-03-28;2024-03-28T11:00:00+00:00;Rennes Métropole;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['162', '163', '196', '274', '454'];['162', '163', '196', '274', '454'];['Informatique (matériel)', 'Informatique (prestations de services)', 'Maintenance', 'Prestations de services', 'Informatique (maintenance serveurs et réseaux)'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19709;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19709.pdf
24-19717;24_19717;;23M0266PN ACCORD CADRE MONO ATTRIBUTAIRE DE MAITRISE D'OEUVRE URBAINE POUR LE PROJET URBAIN DE TOULOUSE CENTRE : SECTEUR COMPANS - AMIDONNIERS- GRAND SAINT SERNIN- DT/CV;24-19717;JOUE;['31'];;Marchés européens;2024-02-18;2024-03-21;2024-03-21T11:00:00+00:00;Toulouse Métropole;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['sociaux'];;;RECTIFICATIF;['197'];['197'];"[""Maîtrise d'oeuvre""]";['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19717;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19717.pdf
24-19719;24_19719;;ASSISTANCE A MAITRISE D'OUVRAGE POUR LA PRECONISATION DE TRAVAUX SUR LES BAITMENTS AVANT ACQUISITION PAR L'OPERATEUR NATIONAL DE VENTE SUR L'ENSEMBLE DU TERRITOIRE NATIONAL (HORS DROM);24-19719;JOUE;['75'];;Marchés européens;2024-02-18;2024-03-18;2024-03-18T11:00:00+00:00;Opérateur National de Ventes;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;RECTIFICATIF;['118', '274', '455', '19'];['118', '274', '455', '19'];['Etude', 'Prestations de services', 'Ingénierie', 'Assistance technique'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19719;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19719.pdf
24-19674;24_19674;;Transport de personnes en autocar avec chauffeur;24-19674;JOUE;['13'];;Marchés européens;2024-02-18;2024-03-18;2024-03-18T14:00:00+00:00;Ville de Marseille;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['347'];['347'];['Transport'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19674;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19674.pdf
24-19702;24_19702;;Souscription des contrats d'assurance pour groupement de commande de la Commune et CCAS de SAINT RAPAHEL - Relance du lot 4 Risques statutaires 24400;24-19702;JOUE;['83'];;Marchés européens;2024-02-18;2024-04-05;2024-04-05T13:00:00+00:00;Groupement de commande Commune de Saint-Raphaël / C.C.A.S. de Saint-Raphaël;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['20'];['20'];['Assurance'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19702;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19702.pdf
24-19703;24_19703;;Assurances pour les besoins du SDIS de la Savoie;24-19703;JOUE;['73'];;Marchés européens;2024-02-18;2024-03-22;2024-03-22T11:00:00+00:00;SDIS 73;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['20'];['20'];['Assurance'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19703;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19703.pdf
24-19705;24_19705;;FOURNITURE ET ACHEMINEMENT D'ELECTRICITE ET SERVICES ASSOCIES;24-19705;JOUE;['34'];;Marchés européens;2024-02-18;2024-03-19;2024-03-19T11:00:00+00:00;Syndicat Mixte d'énergies du département de l'Hérault;;DIRECTIVE-25;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['443'];['443'];['Electricité, gaz (fourniture)'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19705;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19705.pdf
24-19726;24_19726;;Centre de supervision départemental de la Corrèze - Fourniture, installation, mise en oeuvre, exploitation et maintenance - accord-cadre à bons de commande;24-19726;JOUE;['19'];;Marchés européens;2024-02-18;2024-04-16;;Tribunal administratif de Limoges;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['196'];['196'];['Maintenance'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19726;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19726.pdf
24-19650;24_19650;;MISE A DISPOSITION DE HOLTERS RYTHMIQUES AVEC PRESTATIONS INTEGREES DE PRE ANALYSE AUTOMATIQUE EXTERNALISEE DES ENREGISTREMENTS POUR L'UNV DE L'HOPITAL DE LA TIMONE;24-19650;JOUE;['13'];;Marchés européens;2024-02-18;2024-03-01;2024-03-01T11:00:00+00:00;ASSISTANCE PUBLIQUE HÔPITAUX DE MARSEILLE;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;RECTIFICATIF;['196', '212', '274'];['196', '212', '274'];['Maintenance', 'Matériel médical', 'Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19650;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19650.pdf
24-19661;24_19661;;Location, installation de matériels scéniques, de sonorisation et d'éclairage;24-19661;JOUE;['83'];;Marchés européens;2024-02-18;2024-03-22;2024-03-20T11:00:00+00:00;Ville de Frejus;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['324'];['324'];['Sonorisation'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19661;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19661.pdf
24-19614;24_19614;;Travaux d'aménagement, d'entretien et de grandes réparations sur le patrimoine communal;24-19614;JOUE;['93'];;Marchés européens;2024-02-18;2024-03-19;2024-03-19T11:00:00+00:00;Ville de Livry-Gargan;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['345'];['345'];"[""Tous corps d'état""]";['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19614;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19614.pdf
24-19631;24_19631;;Animation en faveur des mobilités solidaires et inclusives sur le territoire héraultais : promotion du covoiturage et de l'autostop sécurisé;24-19631;JOUE;['34'];;Marchés européens;2024-02-18;2024-03-18;2024-03-18T11:00:00+00:00;Conseil départemental de l'Hérault;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19631;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19631.pdf
24-19668;24_19668;;Prestations de fourniture et de pose de câblages pour les bus et les cars de la RTM;24-19668;JOUE;['13'];;Marchés européens;2024-02-18;2024-04-01;2024-03-15T14:00:00+00:00;RTM - Régie des Transports Métropolitains;;DIRECTIVE-25;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['210'];['210'];['Matériel de transmission'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19668;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19668.pdf
24-19773;24_19773;;PRESTATIONS TRAITEUR-LOT N°1: PLATEAUX REPAS INDIVIDUELS ET REPAS DE QUALITÉ NORMALE OU SUPÉRIEURE;24-19773;JOUE;['83'];;Marchés européens;2024-02-18;2024-03-27;2024-03-27T11:00:00+00:00;COMMUNE DE SIX-FOURS-LES-PLAGES;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['304'];['304'];['Repas, traiteur'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19773;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19773.pdf
24-19778;24_19778;;Fourniture de titres restaurant pour le Département de l'Ain;24-19778;JOUE;['01'];;Marchés européens;2024-02-18;2024-03-19;2024-03-19T11:00:00+00:00;Département de l'Ain;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['274', '416'];['274', '416'];['Prestations de services', 'Titres restaurant'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19778;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19778.pdf
24-19735;24_19735;;PRESTATION DE VERIFICATION REGLEMENTAIRE EN METROLOGIE ET MAINTENANCE DES SYSTEMES DE PESEE POUR LES ETABLISSEMENTS DU GHT GUYANE;24-19735;JOUE;['973'];;Marchés européens;2024-02-18;2024-05-15;;"Centre Hospitalier de Cayenne ""Andrée ROSEMON""";;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['196'];['196'];['Maintenance'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19735;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19735.pdf
24-19556;24_19556;;Impression des supports de communication;24-19556;JOUE;['71'];;Marchés européens;2024-02-18;2024-05-22;;Tribunal administratif de Dijon;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['160'];['160'];['Impression'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-19556;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-19556.pdf
