idweb;id;annonce_reference_schema_v110;objet;filename;famille;code_departement;code_departement_prestation;famille_libelle;dateparution;datefindiffusion;datelimitereponse;nomacheteur;titulaire;perimetre;type_procedure;soustype_procedure;procedure_libelle;procedure_categorise;nature;sousnature;nature_libelle;sousnature_libelle;nature_categorise;nature_categorise_libelle;criteres;marche_public_simplifie;marche_public_simplifie_label;etat;descripteur_code;dc;descripteur_libelle;type_marche;type_marche_facette;type_avis;annonce_lie;annonces_anterieures;annonces_anterieures_schema_v110;source_schema;GESTION;DONNEES;url_avis;url_pdf
24-15770;24_15770;;Amélioration thermique des bâtiments E, F et G, création d'une maison des Lycéens et mises aux normes PMR et sécurité de l'externat (E) à l'EREA Jules VERNE à JOIGNY (89);24-15770;FNS;['89'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-06;2024-03-06T17:00:00+00:00;Région BFC;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['sociaux', 'environnementaux'];;;INITIAL;['345'];['345'];"[""Tous corps d'état""]";['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15770;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15770.pdf
24-15986;24_15986;;Travaux de réparations et/ou réalisations de séparateurs et fossés en béton coulé en place et faiblement armé sur les routes départementales;24-15986;FNS;['62'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-02-22;;Conseil Départemental du Pas-de-Calais;;FNSimple;;;Procédure NC;/;RECTIFICATIF;;Rectificatif;Rectificatif;rectificatif/standard;Rectificatif/;;;;RECTIFICATIF;['353'];['353'];['Travaux de viabilité'];['TRAVAUX'];['Travaux'];;;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15986;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15986.pdf
24-15869;24_15869;;La fourniture d'éclairage électrique pour l'environnement hospitalier GHT;24-15869;FNS;['76', '14', '27', '60', '80'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-12;2024-03-11T12:00:00+00:00;Etablissement public de santé;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['203'];['203'];['Matériel électrique'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15869;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15869.pdf
24-15915;24_15915;;Mission d'assistance à maîtrise d'ouvrage pour une opération de modernisation et d'optimisation des installations de neige de culture du domaine skiable Jura sur Léman.;24-15915;MAPA;['39'];;Marchés <90 k€ (MAPA);2024-02-08;2024-03-02;2024-03-01T16:00:00+00:00;Remontées mécaniques - Domaine skiable;;MAPA;PROCEDURE_ADAPTE;;Procédure Adaptée;PROCEDURE_ADAPTE/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['433'];['433'];"[""Assistance à maîtrise d'ouvrage""]";['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15915;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15915.pdf
24-15577;24_15577;;Impression de documents de communication pour l'Opéra de Limoges pour la saison 2024/2025;24-15577;FNS;['87'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-08;2024-03-08T12:30:00+00:00;Opéra de Limoges;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['160'];['160'];['Impression'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15577;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15577.pdf
24-15579;24_15579;;Collecte, Traitement, Recyclage Des Dechets Papiers, Cartons Et Mise A Disposition D'Une Benne, Collecte, Destruction Confidentielle D'Archives;24-15579;FNS;['35'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-14;2024-03-14T12:00:00+00:00;Conseil Départemental d'Ille et Vilaine;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['54', '84', '262', '404'];['54', '84', '262', '404'];['Carton', 'Décharge', 'Papeterie', 'Déchets non ménagers (prestations)'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15579;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15579.pdf
24-15589;24_15589;;Reconstruction du mur de la cour basse et modification du mur de la cour haute : démolition, terrassement, fondation, désamiantage, maçonnerie, VRD, serrurerie, peintures.;24-15589;FNS;['75'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-12;2024-03-12T12:00:00+00:00;Ville de paris DCPA SLA 715;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['144'];['144'];['Gros oeuvre'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15589;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15589.pdf
24-15697;24_15697;;Marchés de travaux pour la réhabilitation du Bâtiment administratif de l'ancien hôpital du Grau Du Roi - Relance des lots 7, 8 et 9. Commune de le Grau Du Roi;24-15697;FNS;['30'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-04-08;2024-03-05T18:00:00+00:00;Groupement de commande SPL 30 / Université de Montpellier;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['222', '321', '308'];['222', '321', '308'];['Menuiserie', 'Serrurerie', 'Revêtements de sols'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15697;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15697.pdf
24-15719;24_15719;;Assistance à maîtrise d'ouvrage (Amo) de mise à disposition par la Région aux communes pour les accompagner dans la mise en oeuvre des procédures foncières relevant de la compétenc;24-15719;FNS;['67', '68', '57', '54', '88', '55', '52', '08', '51'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-11;2024-03-11T12:00:00+00:00;Région Grand Est;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15719;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15719.pdf
24-15725;24_15725;;Travaux d'extension et de requalification de la déchetterie de Corte;24-15725;FNS;['20B'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-05-07;;Syvadec;;FNSimple;;;Procédure NC;/;ATTRIBUTION;;Résultat de marché;;attribution/standard;Résultat de marché/;['environnementaux'];;;INITIAL;['96'];['96'];['Déchetterie (travaux)'];['TRAVAUX'];['Travaux'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15725;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15725.pdf
24-15566;24_15566;;Travaux de restauration du bocage sur le périmètre du programme Breizh Bocage en Baie de la Forêt - Lot n° 1 (relance suite infructuosité);24-15566;FNS;['29', '56'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-11;2024-03-11T12:00:00+00:00;CONCARNEAU CORNOUAILLE AGGLOMERATION;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['348'];['348'];['Travaux agricoles'];['TRAVAUX'];['Travaux'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15566;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15566.pdf
24-15569;24_15569;;Accord-cadre de formations sur l'agilité destinées aux agents de la Direction des Systèmes d'Information et des Usages Numériques du Conseil départemental des Bouches-du-Rhône;24-15569;FNS;['13'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-04-30;;CONSEIL DEPARTEMENTAL DES BOUCHES DU RHONE;;FNSimple;;;Procédure NC;/;ATTRIBUTION;;Résultat de marché;;attribution/standard;Résultat de marché/;;;;INITIAL;['118'];['118'];['Etude'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15569;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15569.pdf
24-15596;24_15596;;Le présent marché a pour objet la location, la réparation et la maintenance des photocopieurs pour les services de la Ville de Vaucresson (92420);24-15596;FNS;['92'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-08;2024-03-08T12:00:00+00:00;Territorial;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['160', '162', '185'];['160', '162', '185'];['Impression', 'Informatique (matériel)', 'Location (matériels)'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15596;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15596.pdf
24-15609;24_15609;;Marché de maîtrise d'oeuvre ayant pour objet les travaux de réfection des couvertures et des étanchéités d'établissements gérés par le C.R.O.U.S. de Lille.;24-15609;FNS;['59', '62'];;Marchés entre 90 k€ et seuils européens;2024-02-08;2024-03-11;2024-03-11T12:00:00+00:00;C.R.O.U.S. de Lille Direction de la Commande Publique;;FNSimple;OUVERT;;Procédure Ouverte;OUVERT/;APPEL_OFFRE;;Avis de marché;;appeloffre/standard;Avis de marché/;['sociaux', 'environnementaux'];;;INITIAL;['118'];['118'];['Etude'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15609;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15609.pdf
24-15295;24_15295;;Marché public relatif à la gestion des aires d'accueil des gens du voyage sur le territoire de la Communauté de Communes du Val d'Essonne;24-15295;JOUE;['91'];;Marchés européens;2024-02-08;2024-03-11;2024-03-11T11:00:00+00:00;Cté de Communes du Val d'Essonne;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['430'];['430'];"[""Aire d'accueil""]";['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15295;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15295.pdf
24-15182;24_15182;;Appel d'offres ouvert en vue de prestations de maintenance des cloches, horloges et paratonnerres de la Ville de Toulon en deux lots;24-15182;JOUE;['83'];;Marchés européens;2024-02-08;2024-03-13;2024-03-13T11:00:00+00:00;Ville de Toulon;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['411', '80', '196'];['411', '80', '196'];['Paratonnerre', 'Clocher', 'Maintenance'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15182;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15182.pdf
24-15215;24_15215;;Achat d'équipements de laboratoire pour traitement d'échantillons dans le cadre des activités du Centre de Recherche en Environnement Côtier;24-15215;JOUE;['14'];;Marchés européens;2024-02-08;2024-03-14;2024-03-14T10:00:00+00:00;Université de Caen Normandie;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['188'];['188'];['Laboratoire (matériel)'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15215;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15215.pdf
24-15217;24_15217;;Fournitures de donnée pour des analyses ESG;24-15217;JOUE;['75'];;Marchés européens;2024-02-08;2024-05-08;;CAISSE DES DEPOTS ET CONSIGNATIONS;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15217;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15217.pdf
24-15228;24_15228;;Mission de Maitrise d'oeuvre pour la rénovation et l'extension de la résidence Jean de Luxembourg à Haubourdin et l'extension de la résidence les magnolias de Loos;24-15228;JOUE;['59'];;Marchés européens;2024-02-08;2024-03-11;2024-03-11T11:00:00+00:00;CHU de Lille - ES du GHT LMFI;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['197'];['197'];"[""Maîtrise d'oeuvre""]";['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15228;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15228.pdf
24-15257;24_15257;;Acquisition de fournitures administratives, pédagogiques, scolaires et pour les activités manuelles commandées par les écoles et les services de la commune;24-15257;JOUE;['13'];;Marchés européens;2024-02-08;2024-03-12;2024-03-12T11:00:00+00:00;Commune de Miramas;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['environnementaux'];;;INITIAL;['16'];['16'];['Articles de bureau et articles scolaires'];['FOURNITURES'];['Fournitures'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15257;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15257.pdf
24-14924;24_14924;;Accord-cadre à bons de commande portant sur la réalisation de missions de coordination en matière de sécurité et de protection de la santé des travailleurs pour les opérations de 1ère, 2ème et 3ème ca;24-14924;JOUE;['78', '75'];;Marchés européens;2024-02-08;2024-06-18;2024-03-18T09:00:00+00:00;Tribunal administratif de Versailles;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['274'];['274'];['Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14924;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14924.pdf
24-15005;24_15005;;Maîtrise d'oeuvre pour le réaménagement du seuil de Saint-Lô dans l'objectif d'améliorer les fonctionnements écologiques et les usages sociaux du site;24-15005;JOUE;['50'];;Marchés européens;2024-02-08;2024-02-27;2024-02-27T11:00:00+00:00;Ville de Saint-Lô;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;['sociaux', 'environnementaux'];;;RECTIFICATIF;['455'];['455'];['Ingénierie'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-15005;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-15005.pdf
24-14815;24_14815;;SERVICES ROUTIERS DE TRANSPORT SCOLAIRE DE LA NIEVRE POUR ELEVES EN SITUATION DE HANDICAP OU FREQUENTANT UNE CLASSE SPECIALISEE;24-14815;JOUE;['18'];;Marchés européens;2024-02-08;2024-03-15;2024-03-12T09:00:00+00:00;TRIBUNAL ADMINISTRATIF DE DIJON;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['347'];['347'];['Transport'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14815;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14815.pdf
24-14866;24_14866;;MPPS entretien des espaces verts de la CCARM / 2024-2026;24-14866;JOUE;['08'];;Marchés européens;2024-02-08;2024-03-04;2024-03-04T14:00:00+00:00;Ardenne rives de meuse;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['116'];['116'];['Espaces verts'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14866;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14866.pdf
24-14902;24_14902;;Prestations de services d'agence de voyages;24-14902;JOUE;['973'];;Marchés européens;2024-02-08;2024-03-08;2024-03-08T15:00:00+00:00;COLLECTIVITE TERRITORIALE DE GUYANE;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['367'];['367'];['Voyage'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14902;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14902.pdf
24-14920;24_14920;;PRESTATION DE NETTOYAGE DE PARCS ET SQUARES POUR LA VILLE DE BAGNEUX;24-14920;JOUE;['92'];;Marchés européens;2024-02-08;2024-03-01;2024-03-01T11:00:00+00:00;Ville de Bagneux;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;RECTIFICATIF;['240'];['240'];['Nettoyage urbain'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14920;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14920.pdf
24-14828;24_14828;;Marché d'exploitation, de renouvellement et de maintenance d'équipements techniques au Laboratoire Départemental d'Analyses à ARRAS;24-14828;JOUE;['62'];;Marchés européens;2024-02-08;2024-03-08;2024-03-08T15:00:00+00:00;Conseil Départemental du Pas-de-Calais;;DIRECTIVE-24;;;Procédure NC;/;APPEL_OFFRE;STANDARD;Avis de marché;;appeloffre/standard;Avis de marché/;;;;INITIAL;['196', '274'];['196', '274'];['Maintenance', 'Prestations de services'];['SERVICES'];['Services'];['5', '1', ''];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14828;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14828.pdf
24-14839;24_14839;;Prestations de nettoyage des locaux administratifs, sportifs et techniques, des vitreries et fournitures des consommables pour la communauté urbaine Caen La Mer - Relance;24-14839;JOUE;['14'];;Marchés européens;2024-02-08;2024-05-05;;Communauté Urbaine Caen La Mer;;DIRECTIVE-24;;;Procédure NC;/;ATTRIBUTION;STANDARD;Résultat de marché;;attribution/standard;Résultat de marché/;['environnementaux'];;;INITIAL;['239'];['239'];['Nettoyage de locaux'];['SERVICES'];['Services'];['', '10', '6'];;;;3.2.5;;;https://www.boamp.fr/pages/avis/?q=idweb:24-14839;https://www.boamp.fr/telechargements/FILES/PDF/2024/02/24-14839.pdf
